Epoch,T_Loss,T_B_Acc,T_Recall,T_Spec,V_Loss,V_B_Acc,V_Recall,V_Spec,Thresh
1,5.7756,0.5301,0.1907,0.8695,5.4113,0.5715,0.5554,0.5876,0.09
2,5.0992,0.5637,0.3046,0.8227,4.6940,0.5977,0.6089,0.5864,0.17
3,4.4986,0.6059,0.5379,0.6739,4.1572,0.6221,0.7336,0.5106,0.22
4,4.0143,0.6248,0.5551,0.6945,3.6863,0.6383,0.7528,0.5239,0.30
5,3.5310,0.6433,0.6025,0.6840,3.2207,0.6604,0.7869,0.5339,0.39
6,3.0303,0.6684,0.6715,0.6654,2.7637,0.6850,0.7842,0.5858,0.47
7,2.7064,0.6889,0.6930,0.6848,2.5194,0.7070,0.7807,0.6334,0.52
8,2.4641,0.7211,0.8079,0.6344,2.3439,0.7365,0.8155,0.6574,0.51
9,2.2477,0.7502,0.7825,0.7180,2.1534,0.7588,0.8487,0.6690,0.55
10,2.0364,0.7790,0.8869,0.6711,1.9489,0.7873,0.8879,0.6866,0.49
11,1.8808,0.7947,0.8529,0.7366,1.7886,0.7994,0.8868,0.7119,0.53
12,1.7339,0.8102,0.9259,0.6946,1.7847,0.8220,0.9010,0.7431,0.45
13,1.6260,0.8193,0.9463,0.6924,1.7356,0.8380,0.8893,0.7867,0.40
14,1.5278,0.8366,0.9230,0.7501,1.5343,0.8347,0.9216,0.7478,0.47
15,1.4409,0.8467,0.9354,0.7580,1.5215,0.8450,0.9176,0.7723,0.45
16,1.3582,0.8581,0.9326,0.7836,1.4296,0.8492,0.9262,0.7723,0.47
17,1.2814,0.8635,0.9510,0.7760,1.3475,0.8564,0.9413,0.7715,0.43
18,1.2186,0.8723,0.9505,0.7940,1.2942,0.8747,0.9268,0.8226,0.44
19,1.1774,0.8711,0.9634,0.7789,1.2961,0.8812,0.9321,0.8302,0.38
20,1.1176,0.8795,0.9632,0.7958,1.2428,0.8806,0.9406,0.8207,0.39
21,1.0706,0.8876,0.9586,0.8166,1.2215,0.8848,0.9316,0.8379,0.43
22,1.0329,0.8930,0.9511,0.8349,1.1567,0.8830,0.9312,0.8348,0.47
23,0.9879,0.8947,0.9607,0.8288,1.1320,0.8805,0.9432,0.8179,0.44
24,0.9541,0.8969,0.9667,0.8272,1.1510,0.8876,0.9412,0.8340,0.42
25,0.9243,0.9016,0.9638,0.8395,1.0900,0.8880,0.9423,0.8337,0.44
26,0.8937,0.9052,0.9647,0.8457,1.0736,0.8977,0.9360,0.8594,0.44
27,0.8650,0.9039,0.9733,0.8344,1.0513,0.8994,0.9500,0.8488,0.39
28,0.8356,0.9058,0.9753,0.8362,1.0298,0.8986,0.9542,0.8429,0.38
29,0.8249,0.9082,0.9744,0.8419,1.0306,0.9022,0.9535,0.8509,0.39
30,0.7921,0.9138,0.9724,0.8551,1.0217,0.8975,0.9480,0.8469,0.42
31,0.7778,0.9136,0.9754,0.8518,1.0022,0.9048,0.9508,0.8588,0.40
32,0.7550,0.9129,0.9791,0.8466,1.0171,0.9056,0.9508,0.8603,0.37
33,0.7381,0.9173,0.9770,0.8576,0.9732,0.9075,0.9486,0.8664,0.40
34,0.7220,0.9165,0.9809,0.8521,0.9985,0.9109,0.9463,0.8756,0.36
35,0.7094,0.9189,0.9792,0.8586,0.9913,0.9134,0.9391,0.8876,0.39
36,0.6948,0.9214,0.9795,0.8634,0.9233,0.9118,0.9570,0.8665,0.39
37,0.6856,0.9185,0.9829,0.8542,0.9428,0.9155,0.9568,0.8743,0.35
38,0.6702,0.9214,0.9822,0.8607,0.9193,0.9152,0.9582,0.8723,0.36
39,0.6554,0.9250,0.9817,0.8682,0.9385,0.9127,0.9558,0.8696,0.38
40,0.6499,0.9204,0.9842,0.8565,0.9779,0.9178,0.9457,0.8898,0.34
41,0.6296,0.9267,0.9830,0.8704,0.8995,0.9185,0.9558,0.8813,0.38
42,0.6185,0.9280,0.9825,0.8736,0.9068,0.9166,0.9544,0.8789,0.38
43,0.6131,0.9292,0.9829,0.8755,0.8915,0.9180,0.9522,0.8838,0.39
44,0.5986,0.9288,0.9844,0.8732,0.8828,0.9186,0.9592,0.8781,0.37
45,0.5901,0.9277,0.9863,0.8691,0.8683,0.9202,0.9640,0.8765,0.35
46,0.5760,0.9299,0.9863,0.8735,0.9029,0.9187,0.9589,0.8785,0.35
47,0.5711,0.9304,0.9862,0.8746,0.8787,0.9176,0.9580,0.8772,0.36
48,0.5604,0.9309,0.9873,0.8744,0.8744,0.9195,0.9620,0.8770,0.35
49,0.5525,0.9322,0.9869,0.8775,0.8718,0.9202,0.9574,0.8830,0.37
50,0.5458,0.9329,0.9865,0.8794,0.8979,0.9205,0.9531,0.8879,0.37
